,sku,units_sold,unit_price,title,average_discount
1299,XB1SXWildfire,549,12.883701657458563,Wildfire,0.1
1300,XB1SXWildstyle,182,12.905555555555555,Wildstyle,0.07
1301,XB1SXWoodland,171,12.890828402366862,Woodland Camo,0.03
1302,XB1S_102-Console-UltraInstinctV2,4,24.95,Ultra Instinct V2,0.0
1303,XB1S_103-Console-GogetaJapanRetro,3,24.95,Gogeta Retro,0.95
1304,XB1S_104-Console-Evangelion,3,25.95,Evangelion,0.0
1305,XB1S_106-Console-ShenronsRevenge,3,26.616666666666664,Shenron's Revenge,0.0
1306,XB1S_107-Console-NarutoSasuke,7,27.521428571428572,Sasuke,0.0
1307,XB1S_112-Console-GokuUkiyo,1,27.95,Goku Ukiyo,0.0
1308,XB1S_113-Console-FriezaJapanRetro,2,24.95,Frieza Retro,0.0
1309,XB1S_114-Console-BrolyJapanRetro,1,24.95,Broly Retro,0.0
1310,XB1S_115-Console-GokuRose,2,27.45,Goku Rose,0.0
1311,XB1S_116-Console-UltraInstinct,4,25.7,Ultra Instinct,0.0
1312,XB1S_121-Console-SailtheMoon,2,24.95,Sail the Moon,0.95
1313,XB1S_130-Console-Itachi,17,26.008823529411764,Itachi,0.0
1314,XB1S_133-Console-SixPathsofPain,1,24.95,Six Paths of Pain,0.0
1315,XB1S_136-Console-Nezuko,1,24.95,Nezuko,0.0
1316,XB1S_203-Console-Cyberpunk,1,27.95,Cyberpunk,0.0
1317,XB1S_225-Console-SpiralHill,1,24.95,Spiral Hill,0.0
1318,XB1S_301-Console-Zilla,8,25.95,Zilla,0.95
1319,XB1S_302-Console-Kong,2,24.95,Kong,0.95
1320,XB1S_303-Console-TheOneRing,2,24.95,The One Ring,0.0
1321,XB1S_308-Console-Host,2,24.95,Host *LIMITED*,0.0
1322,XB1S_309-Console-SpiralHill,2,24.95,Spiral Hill,0.0
1323,XB1S_310-Console-UniverseofRick,3,24.95,Universe of Rick,0.0
1324,XB1S_407-Console-RedCity,1,24.95,Red City,0.0
1325,XB1S_408-Console-Explorers,1,24.95,Explorers,0.0
1326,XB1S_502-Console-Supernova,1,27.95,Supernova,0.0
1327,XB1S_503-Console-Interstellar,1,24.95,Interstellar,0.0
1328,XB1S_507-Console-Aurora,7,24.95,Aurora,0.0
1329,XB1S_601-Console-BlackCarbonFiber-,2,27.45,Black Carbon Fiber,0.0
1330,XB1S_603-Console-RedCarbonFiber,2,24.95,Red Carbon Fiber,0.0
1331,XB1S_604-Console-BloodSplatter,2,24.95,Blood Splatter,0.95
1332,XB1S_606-Console-WhiteMarble,1,22.95,White Marble,0.0
1333,XB1S_609-Console-DayoftheDead,1,24.95,Day of the Dead,0.0
1334,XB1S_610-Console-BreakingThrough,1,24.95,Breaking Through,0.0
1335,XB1S_612-Console-AntiqueWood,3,24.95,Antique Wood,0.95
1336,XB1S_617-Console-BlackMarble,1,24.95,Black Marble,0.0
1337,XB1S_618-Console-BrushedMetal,1,24.95,Brushed Metal,0.0
1338,XB1S_619-Console-Patriot,1,24.95,Patriot,0.0
1339,XB1S_620-Console-420,2,27.45,420,0.0
1340,XB1S_623-Console-Mecha,2,23.95,Mecha,0.95
1341,XB1S_624-Console-PandorasBox,3,25.95,Pandora's Box,0.0
1342,XB1S_701-Console-HellsEdge,5,25.95,Hell's Edge,0.0
1343,XB1S_702-Console-MoltenCore,2,27.45,Molten Core,0.95
1344,XB1S_704-Console-Magma,1,24.95,Magma,0.0
1345,XB1ShadowCamo,613,12.875124792013311,Shadow Camo,0.95
1346,XB1ShowMeTheMoney,1341,12.871791951404706,Show Me The Money!,0.05
1347,XB1Spacial,115,13.054347826086957,Spacial,0.05
1348,XB1StealthCamo,1,12.95,Stealth Camo,0.0
1349,XB1SubmarineBlue,1,14.95,Submarine Blue Camo,0.0
1350,XB1SubmarineCamo,123,12.81991869918699,Submarine Camo,0.14
1351,XB1SugarSkulls,164,12.8890243902439,Sugar Skulls,0.03
1352,XB1TacticalDigitalCamo,312,13.040909090909091,Tactical Digital Camo,0.07
1353,XB1TagLife,346,13.882748538011695,Tag Life,0.01
1354,XB1TieDye,1501,14.116892808683852,Tie Dye,0.95
1355,XB1UltraPinkCamo,297,12.902702702702703,Ultra Camo,0.09
1356,XB1WhiteDigitalCamo,400,13.275641025641026,Snow Digital Camo,0.06
1357,XB1WhiteSkulls,283,12.867857142857142,White Skulls,0.06
1358,XB1Wildfire,1030,12.911271102284012,Wildfire,0.09
1359,XB1Wildstyle,409,12.905112219451372,Wildstyle,0.06
1360,XB1Woodland,276,12.853703703703705,Woodland Camo,0.07
1361,XB1X-Console-DayoftheDead-XB1X_609,1,29.95,Day of the Dead,0.0
1362,XB1X-Console-HellsEdge-XB1X_701,1,29.95,Hell's Edge,0.0
